,Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps),Unnamed: 8
0,02/12/2020 19:42:57.063,12,TAI_400 @B73477,94965,FBFF0C000500,-0.5,1.2,0.5,
1,02/12/2020 19:42:57.112,61,TAI_400 @B73477,94971,FCFF0C000500,-0.4,1.2,0.5,
2,02/12/2020 19:42:57.160,109,TAI_400 @B73477,94977,FCFF0B000500,-0.4,1.1,0.5,
3,02/12/2020 19:42:57.209,158,TAI_400 @B73477,94984,FCFF09000600,-0.4,0.9,0.6,
4,02/12/2020 19:42:57.257,206,TAI_400 @B73477,94990,FBFF0B000400,-0.5,1.1,0.4,
5,02/12/2020 19:42:57.307,256,TAI_400 @B73477,94996,FAFF0B000500,-0.6,1.1,0.5,
6,02/12/2020 19:42:57.356,305,TAI_400 @B73477,95002,FCFF0C000600,-0.4,1.2,0.6,
7,02/12/2020 19:42:57.405,354,TAI_400 @B73477,95009,FDFF0B000500,-0.3,1.1,0.5,
8,02/12/2020 19:42:57.454,403,TAI_400 @B73477,95015,FDFF09000500,-0.3,0.9,0.5,
9,02/12/2020 19:42:57.503,452,TAI_400 @B73477,95021,FCFF0A000400,-0.4,1.0,0.4,
10,02/12/2020 19:42:57.599,548,TAI_400 @B73477,95027,FBFF0B000400,-0.5,1.1,0.4,
11,02/12/2020 19:42:57.648,597,TAI_400 @B73477,95034,FBFF0C000600,-0.5,1.2,0.6,
12,02/12/2020 19:42:57.697,646,TAI_400 @B73477,95040,FDFF0B000500,-0.3,1.1,0.5,
13,02/12/2020 19:42:57.745,694,TAI_400 @B73477,95046,FCFF0A000500,-0.4,1.0,0.5,
14,02/12/2020 19:42:57.794,743,TAI_400 @B73477,95052,FAFF09000500,-0.6,0.9,0.5,
15,02/12/2020 19:42:57.843,792,TAI_400 @B73477,95059,F9FF0B000500,-0.7,1.1,0.5,
16,02/12/2020 19:42:57.892,841,TAI_400 @B73477,95065,FAFF0C000500,-0.6,1.2,0.5,
17,02/12/2020 19:42:57.941,890,TAI_400 @B73477,95071,FCFF0C000500,-0.4,1.2,0.5,
18,02/12/2020 19:42:57.991,940,TAI_400 @B73477,95077,FCFF0B000500,-0.4,1.1,0.5,
19,02/12/2020 19:42:58.039,988,TAI_400 @B73477,95084,FBFF0A000500,-0.5,1.0,0.5,
20,02/12/2020 19:42:58.088,1037,TAI_400 @B73477,95090,FBFF0B000500,-0.5,1.1,0.5,
21,02/12/2020 19:42:58.136,1085,TAI_400 @B73477,95096,FBFF0C000500,-0.5,1.2,0.5,
22,02/12/2020 19:42:58.185,1134,TAI_400 @B73477,95102,FCFF0C000500,-0.4,1.2,0.5,
23,02/12/2020 19:42:58.233,1182,TAI_400 @B73477,95109,FCFF0B000500,-0.4,1.1,0.5,
24,02/12/2020 19:42:58.282,1231,TAI_400 @B73477,95115,FCFF0A000500,-0.4,1.0,0.5,
25,02/12/2020 19:42:58.331,1280,TAI_400 @B73477,95121,FCFF0B000500,-0.4,1.1,0.5,
26,02/12/2020 19:42:58.380,1329,TAI_400 @B73477,95127,FAFF0B000500,-0.6,1.1,0.5,
27,02/12/2020 19:42:58.429,1378,TAI_400 @B73477,95134,FBFF0C000500,-0.5,1.2,0.5,
28,02/12/2020 19:42:58.477,1426,TAI_400 @B73477,95140,FCFF0B000500,-0.4,1.1,0.5,
29,02/12/2020 19:42:58.526,1475,TAI_400 @B73477,95146,FCFF0A000500,-0.4,1.0,0.5,
30,02/12/2020 19:42:58.575,1524,TAI_400 @B73477,95152,FBFF0B000500,-0.5,1.1,0.5,
31,02/12/2020 19:42:58.624,1573,TAI_400 @B73477,95159,FAFF0B000400,-0.6,1.1,0.4,
32,02/12/2020 19:42:58.672,1621,TAI_400 @B73477,95165,FAFF0C000500,-0.6,1.2,0.5,
