Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
20/10/2020 17:35:44.029,4,TAI_400 @B73477,19211,1400E0FFF403,20,-32,1012,
20/10/2020 17:35:44.077,52,TAI_400 @B73477,19217,2200DFFFFB03,34,-33,1019,
20/10/2020 17:35:44.127,102,TAI_400 @B73477,19223,1E00DDFFF103,30,-35,1009,
20/10/2020 17:35:44.175,150,TAI_400 @B73477,19230,1600E1FFF303,22,-31,1011,
20/10/2020 17:35:44.223,198,TAI_400 @B73477,19236,1E00DAFFFC03,30,-38,1020,
20/10/2020 17:35:44.272,247,TAI_400 @B73477,19242,1700E1FFED03,23,-31,1005,
20/10/2020 17:35:44.321,296,TAI_400 @B73477,19248,2100DBFFFE03,33,-37,1022,
20/10/2020 17:35:44.370,345,TAI_400 @B73477,19255,1500DDFFF803,21,-35,1016,
20/10/2020 17:35:44.419,394,TAI_400 @B73477,19261,1F00E1FFF103,31,-31,1009,
20/10/2020 17:35:44.467,442,TAI_400 @B73477,19267,1B00DCFFF103,27,-36,1009,
20/10/2020 17:35:44.516,491,TAI_400 @B73477,19273,1600D9FF0004,22,-39,1024,
20/10/2020 17:35:44.566,540,TAI_400 @B73477,19280,1B00DEFFF803,27,-34,1016,
20/10/2020 17:35:44.616,591,TAI_400 @B73477,19286,1000DDFF0D04,16,-35,1037,
20/10/2020 17:35:44.663,638,TAI_400 @B73477,19292,1C00DBFFED03,28,-37,1005,
20/10/2020 17:35:44.711,686,TAI_400 @B73477,19298,1100EAFFF203,17,-22,1010,
20/10/2020 17:35:44.761,736,TAI_400 @B73477,19305,1D00DFFF0004,29,-33,1024,
20/10/2020 17:35:44.809,784,TAI_400 @B73477,19311,1300E0FFF103,19,-32,1009,
20/10/2020 17:35:44.857,832,TAI_400 @B73477,19317,1A00E4FFF303,26,-28,1011,
20/10/2020 17:35:44.955,930,TAI_400 @B73477,19323,1B00C8FFF303,27,-56,1011,
20/10/2020 17:35:45.004,979,TAI_400 @B73477,19330,1C00DAFFEE03,28,-38,1006,
20/10/2020 17:35:45.052,1027,TAI_400 @B73477,19336,1B00E2FF0304,27,-30,1027,
20/10/2020 17:35:45.102,1077,TAI_400 @B73477,19342,1A00E0FFF603,26,-32,1014,
20/10/2020 17:35:45.150,1125,TAI_400 @B73477,19348,1F00DEFFEE03,31,-34,1006,
20/10/2020 17:35:45.201,1175,TAI_400 @B73477,19355,1E00DEFFFF03,30,-34,1023,
20/10/2020 17:35:45.248,1223,TAI_400 @B73477,19361,1A00D3FFE603,26,-45,998,
20/10/2020 17:35:45.299,1274,TAI_400 @B73477,19367,1600D8FFF703,22,-40,1015,
20/10/2020 17:35:45.346,1321,TAI_400 @B73477,19373,1C00DEFFF803,28,-34,1016,
20/10/2020 17:35:45.393,1368,TAI_400 @B73477,19380,1D00E0FFF703,29,-32,1015,
20/10/2020 17:35:45.442,1417,TAI_400 @B73477,19386,1200DAFFFC03,18,-38,1020,
20/10/2020 17:35:45.491,1466,TAI_400 @B73477,19392,0F00D6FF0804,15,-42,1032,
20/10/2020 17:35:45.540,1515,TAI_400 @B73477,19398,1700DEFF0004,23,-34,1024,
20/10/2020 17:35:45.589,1564,TAI_400 @B73477,19405,1900DDFFF003,25,-35,1008,
20/10/2020 17:35:45.637,1612,TAI_400 @B73477,19411,1A00E1FFF403,26,-31,1012,
20/10/2020 17:35:45.686,1661,TAI_400 @B73477,19417,1800E1FFF903,24,-31,1017,
20/10/2020 17:35:45.735,1710,TAI_400 @B73477,19423,1B00D8FFF603,27,-40,1014,
20/10/2020 17:35:45.784,1759,TAI_400 @B73477,19430,1600DAFFF703,22,-38,1015,
20/10/2020 17:35:45.832,1807,TAI_400 @B73477,19436,1900D7FFF703,25,-41,1015,
20/10/2020 17:35:45.882,1856,TAI_400 @B73477,19442,1D00ECFFF003,29,-20,1008,
20/10/2020 17:35:45.931,1906,TAI_400 @B73477,19448,1400DEFFFF03,20,-34,1023,
20/10/2020 17:35:45.978,1953,TAI_400 @B73477,19455,1F00E1FFEE03,31,-31,1006,
20/10/2020 17:35:46.027,2002,TAI_400 @B73477,19461,1F00DAFFF703,31,-38,1015,
20/10/2020 17:35:46.125,2100,TAI_400 @B73477,19467,1B00DBFFF403,27,-37,1012,
20/10/2020 17:35:46.174,2149,TAI_400 @B73477,19473,1E00D7FFF403,30,-41,1012,
20/10/2020 17:35:46.223,2198,TAI_400 @B73477,19480,2100DAFFFA03,33,-38,1018,
20/10/2020 17:35:46.272,2246,TAI_400 @B73477,19486,1A00E2FFE703,26,-30,999,
20/10/2020 17:35:46.320,2295,TAI_400 @B73477,19492,1600D3FFFA03,22,-45,1018,
20/10/2020 17:35:46.369,2344,TAI_400 @B73477,19498,1B00DAFFF703,27,-38,1015,
20/10/2020 17:35:46.418,2393,TAI_400 @B73477,19505,1D00DDFFF003,29,-35,1008,
20/10/2020 17:35:46.466,2441,TAI_400 @B73477,19511,1C00D6FFF903,28,-42,1017,
20/10/2020 17:35:46.514,2489,TAI_400 @B73477,19517,1100D6FFF703,17,-42,1015,
20/10/2020 17:35:46.564,2539,TAI_400 @B73477,19523,1F00DAFF0904,31,-38,1033,
20/10/2020 17:35:46.614,2589,TAI_400 @B73477,19530,1A00D6FFF703,26,-42,1015,
20/10/2020 17:35:46.661,2636,TAI_400 @B73477,19536,0E00D8FF0304,14,-40,1027,
20/10/2020 17:35:46.710,2685,TAI_400 @B73477,19542,2200E3FFF803,34,-29,1016,
20/10/2020 17:35:46.758,2733,TAI_400 @B73477,19548,1E00DEFFFB03,30,-34,1019,
20/10/2020 17:35:46.808,2783,TAI_400 @B73477,19555,2300E8FFF103,35,-24,1009,
20/10/2020 17:35:46.856,2831,TAI_400 @B73477,19561,1D00E5FFFA03,29,-27,1018,
20/10/2020 17:35:46.906,2880,TAI_400 @B73477,19567,1D00DDFFF703,29,-35,1015,
20/10/2020 17:35:46.954,2929,TAI_400 @B73477,19573,1700E4FFF803,23,-28,1016,
20/10/2020 17:35:47.002,2977,TAI_400 @B73477,19580,2000E1FFF603,32,-31,1014,
20/10/2020 17:35:47.051,3026,TAI_400 @B73477,19586,2300D9FFF703,35,-39,1015,
20/10/2020 17:35:47.100,3075,TAI_400 @B73477,19592,1A00DCFFF003,26,-36,1008,
20/10/2020 17:35:47.148,3123,TAI_400 @B73477,19598,1700DEFFFF03,23,-34,1023,
20/10/2020 17:35:47.246,3221,TAI_400 @B73477,19605,1600DAFFF003,22,-38,1008,
20/10/2020 17:35:47.295,3270,TAI_400 @B73477,19611,2300E0FFF003,35,-32,1008,
20/10/2020 17:35:47.343,3318,TAI_400 @B73477,19617,1B00D8FFF703,27,-40,1015,
20/10/2020 17:35:47.392,3367,TAI_400 @B73477,19623,1900DBFFEE03,25,-37,1006,
20/10/2020 17:35:47.441,3416,TAI_400 @B73477,19630,1700DEFFF603,23,-34,1014,
