Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
03/12/2020 12:44:39.832,3090,TAI_400 @B73477,85227,F4FF03000B04,-12,3,1035,
03/12/2020 12:44:39.882,3140,TAI_400 @B73477,85233,BBFFF8FFD603,-69,-8,982,
03/12/2020 12:44:39.930,3188,TAI_400 @B73477,85239,F2FFF9FF0504,-14,-7,1029,
03/12/2020 12:44:39.980,3237,TAI_400 @B73477,85245,BCFFEFFFF003,-68,-17,1008,
03/12/2020 12:44:40.027,3285,TAI_400 @B73477,85252,DBFFF2FF0304,-37,-14,1027,
03/12/2020 12:44:40.076,3334,TAI_400 @B73477,85258,CBFFF7FFED03,-53,-9,1005,
03/12/2020 12:44:40.126,3384,TAI_400 @B73477,85264,D0FFE8FF0804,-48,-24,1032,
03/12/2020 12:44:40.174,3432,TAI_400 @B73477,85270,CFFF0000F103,-49,0,1009,
03/12/2020 12:44:40.222,3480,TAI_400 @B73477,85277,E2FFEDFF0304,-30,-19,1027,
03/12/2020 12:44:40.271,3529,TAI_400 @B73477,85283,C8FF0C00F803,-56,12,1016,
03/12/2020 12:44:40.368,3626,TAI_400 @B73477,85289,D6FFE6FF0004,-42,-26,1024,
03/12/2020 12:44:40.418,3676,TAI_400 @B73477,85295,D2FF0200F003,-46,2,1008,
03/12/2020 12:44:40.466,3724,TAI_400 @B73477,85302,CEFFEDFF0804,-50,-19,1032,
03/12/2020 12:44:40.515,3773,TAI_400 @B73477,85308,DBFF1900FE03,-37,25,1022,
03/12/2020 12:44:40.564,3822,TAI_400 @B73477,85314,BCFFE8FFF203,-68,-24,1010,
03/12/2020 12:44:40.613,3870,TAI_400 @B73477,85320,E9FF0600FD03,-23,6,1021,
03/12/2020 12:44:40.661,3919,TAI_400 @B73477,85327,BCFFE7FFFF03,-68,-25,1023,
03/12/2020 12:44:40.710,3968,TAI_400 @B73477,85333,EDFF1200FF03,-19,18,1023,
03/12/2020 12:44:40.758,4016,TAI_400 @B73477,85339,C7FFF3FFF903,-57,-13,1017,
03/12/2020 12:44:40.807,4065,TAI_400 @B73477,85345,F2FFF4FF0404,-14,-12,1028,
03/12/2020 12:44:40.856,4114,TAI_400 @B73477,85352,D5FFF5FFE903,-43,-11,1001,
03/12/2020 12:44:40.905,4163,TAI_400 @B73477,85358,E3FFEEFFFE03,-29,-18,1022,
03/12/2020 12:44:40.954,4212,TAI_400 @B73477,85364,C0FF0300FF03,-64,3,1023,
03/12/2020 12:44:41.002,4260,TAI_400 @B73477,85370,DEFFEFFF0304,-34,-17,1027,
03/12/2020 12:44:41.051,4309,TAI_400 @B73477,85377,C3FF0300F103,-61,3,1009,
03/12/2020 12:44:41.100,4358,TAI_400 @B73477,85383,EBFFF4FF0D04,-21,-12,1037,
03/12/2020 12:44:41.149,4407,TAI_400 @B73477,85389,CFFF0000EF03,-49,0,1007,
03/12/2020 12:44:41.198,4456,TAI_400 @B73477,85395,DBFFE4FF1104,-37,-28,1041,
03/12/2020 12:44:41.247,4505,TAI_400 @B73477,85402,CBFF0F00F003,-53,15,1008,
03/12/2020 12:44:41.295,4553,TAI_400 @B73477,85408,C9FFE4FF0104,-55,-28,1025,
03/12/2020 12:44:41.344,4602,TAI_400 @B73477,85414,D4FF0D00FA03,-44,13,1018,
03/12/2020 12:44:41.393,4651,TAI_400 @B73477,85420,CEFFE2FFFC03,-50,-30,1020,
03/12/2020 12:44:41.442,4700,TAI_400 @B73477,85427,EEFF0900F903,-18,9,1017,
03/12/2020 12:44:41.539,4797,TAI_400 @B73477,85433,C4FFD8FFEE03,-60,-40,1006,
03/12/2020 12:44:41.589,4847,TAI_400 @B73477,85439,EDFF0400F203,-19,4,1010,
03/12/2020 12:44:41.636,4894,TAI_400 @B73477,85445,C4FFE9FFFA03,-60,-23,1018,
03/12/2020 12:44:41.685,4943,TAI_400 @B73477,85452,D4FFFBFF0304,-44,-5,1027,
03/12/2020 12:44:41.733,4991,TAI_400 @B73477,85458,C2FFEDFFFB03,-62,-19,1019,
03/12/2020 12:44:41.782,5040,TAI_400 @B73477,85464,D5FFF3FF1104,-43,-13,1041,
03/12/2020 12:44:41.833,5090,TAI_400 @B73477,85470,C2FF1400FB03,-62,20,1019,
03/12/2020 12:44:41.929,5187,TAI_400 @B73477,85477,EDFFF3FF0304,-19,-13,1027,
03/12/2020 12:44:41.929,5187,TAI_400 @B73477,85483,C2FF0900E303,-62,9,995,
03/12/2020 12:44:41.978,5236,TAI_400 @B73477,85489,F1FFF4FFFD03,-15,-12,1021,
03/12/2020 12:44:42.027,5284,TAI_400 @B73477,85495,D9FF0B00DD03,-39,11,989,
